WBS	Project	Célula
104996-06BR	104996	Petrobras
105658-06BR	105658	Petrobras
104996-03BR	104996	Petrobras
105500-10BR	105500	Petrobras
105658-05BR	105658	Petrobras
106004-08BR	106004	Petrobras
105658-10BR	105658	Petrobras
105658-20BR	105658	Petrobras
104996-20BR	104996	Petrobras
100935-03BR	100935	Petrobras
105500-20BR	105500	Petrobras
105500-06BR	105500	Petrobras
100935-06BR	100935	Petrobras
105658-98BR	105658	Petrobras
104133-06BR	104133	Controls
103715-06BR	103715	Controls
106022-06BR	106022	Controls
104231-06BR	104231	Controls
101353-06BR	101353	Controls
104564-06BR	104564	Controls
105157-06BRT	105157	Controls
105157-06BR	105157	Controls
106006-06BR	106006	Controls
105915-06BR	105915	Controls
100798-06BR	100798	Controls
105911-06BR	105911	Controls
105077-06BR	105077	Controls
101598-06BR	101598	Controls
104231-05BR	104231	IOC
104133-05BR	104133	IOC
103715-05BR	103715	IOC
103294-05BR	103294	IOC
104564-05BR	104564	IOC
106022-05BR	106022	IOC
101353-05BR	101353	IOC
101643-05BR	101643	Stocking Program
101643-06BR	101643	Stocking Program
104214-05BR	104214	Moho BR
104214-06BR	104214	Controls
