28.10.2022                                                                                                                                                                    Dynamic List Display                                                                                                                                                                                                                             1


	Purch.Req.	Item	PO	Item	Material	Short Text	Req. Date	Release Dt	Deliv.dt	PO Date	PGr	Quantity	Un	Created by	Plnt	Requisnr.	Chngd On	Crcy	C	Deliv.Date	I	Language	Manufact.	MPN	Des. Supp.	Supplier	 PDT	S	POrg	Info rec.	Ordered	TrackingNo	Reserv.no.	RevLev	SLoc	  Total Value	Valn Price	Valn Price

	13023390	  80			10301382	1" PIPE SUPPORT ASSEMBLY	20.06.2022	11.10.2022	09.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230309	L	EN					125	N			     0	BB - 2	   9294770	01	0404	   39.433,48	 9.858,37	     0,00
	13023390	  90			10301382	1" PIPE SUPPORT ASSEMBLY	20.06.2022	06.10.2022	09.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230309	L	EN					195	N			     0	BB - 2	   9294771	01	0404	   39.433,48	 9.858,37	     0,00
	13023393	  80			10301343	2-1/2" PIPE SUPPORT ASSEMBLY	20.06.2022	11.10.2022	10.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230310	L	EN					120	N			     0	BB - 2	   9294772	01	0404	   39.433,48	 9.858,37	     0,00
	13023393	  90			10301343	2-1/2" PIPE SUPPORT ASSEMBLY	20.06.2022	11.10.2022	09.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230309	L	EN					120	N			     0	BB - 2	   9294773	01	0404	   39.433,48	 9.858,37	     0,00
	13041256	  40			10301374	VALVE BLOCK, SUPPORT ASSEMBLY	28.06.2022	30.09.2022	20.03.2023		BC4	      8	EA	276828	5260	276828	20.09.2022	BRL	D	20230320	L	EN					147	N			     0	BB - 2	   9350779	01	0404	   78.866,96	 9.858,37	     0,00
	13041278	  40			10319035	1" PIPE SUPPORT ASSEMBLY, TOP	20.06.2022	21.07.2022	10.03.2023		BC4	      8	EA	276828	5260		21.07.2022	BRL	D	20230310	L	EN					195	N			     0	KS	   9294095	00	0404	   78.866,96	 9.858,37	     0,00
	13045174	 600	4500926256	 611	10295708	SEAL PLATE VMC 12" - ASSEMBLY	27.09.2021	30.10.2022	26.11.2023	16.03.2021	BA1	     25	EA	347758	526Y		03.10.2022	BRL	D	20231126		EN					100	B			    17	WP10NO		02	1000	        0,25	     0,01	     0,00
	13056619	  20			10298829	WHC INDICATOR ASSEMBLY	20.06.2022	30.09.2022	10.03.2023		BC4	      8	EA	276828	5260	276828	20.09.2022	BRL	D	20230310	L	EN					137	N			     0	BB - 2	   9294097	01	0404	    6.400,00	   800,00	     0,00
	13073253	  20	4500934565	  70	10106767	ACCUMULATOR ASSY 5L 760BAR MWP SUBSEA	24.09.2021	24.09.2021	04.11.2021	17.06.2021	BPQ	      1	EA	357310	5260		12.09.2022	BRL	D	20211104	L	EN	109896	0538N-GB-761			257	B			     0	200518730R	   8273243	00	0404	        0,01	     0,01	     0,00
	13100206	  30			10283801	ROUND BAR, Ø240MM, DUPLEX	25.10.2022	26.10.2022	17.04.2023		BC2	    660	MM	276828	5260		26.10.2022	BRL	D	20230417		EN					150	N			     0			02	0404	        6,60	     0,01	     0,00
	15941747	  10			BB15-080265-09	ADHESIVE LINED HEAT SHRINK TUBE 6MM ID 2	17.03.2022	04.10.2022	03.11.2022		BC5	      2	EA	Comerciais N	5260	Comerciais N	04.04.2022	BRL	D	20221103		EN	109937	157-3795			 30	N			     0			00	0404	       78,34	    39,17	     0,00
	15941751	  10			10013119	FLAT STEEL, 25mm x 5mm, SS	17.03.2022	16.11.2022	16.12.2022		BC0	      2	M	Comerciais N	5260	Comerciais N	04.04.2022	BRL	D	20221216		EN					 30	N			     0			00	0404	      105,12	    52,56	     0,00
	15942203	  10	4501734877	  20	10236341	SCREENING BRAID HBT99-04.0-2/0-F	17.03.2022	08.07.2022	16.12.2022	29.06.2022	BC5	    125	M	Connect. & E	5260	Connect. & E	10.05.2022	BRL	D	20221216		EN	109280	HBT99-04.0-2/0-F			160	B			     0			00	0404	  100.000,00	   800,00	     0,00
	15947536	  10	4501734877	  30	10167025	CRIMP MINISEAL SPLICE BLUE D-436-37	18.03.2022	12.08.2022	10.12.2022	29.06.2022	BC0	    600	EA	Connect. & E	5260	Connect. & E	29.06.2022	BRL	D	20221210		EN	110894	D-436-37*			120	B			     0			02	0404	  480.000,00	   800,00	     0,00
	16034416	  10			10114500	PLUG, 37º W/RING SEAL, 1/4", 316SS	03.04.2022	15.08.2022	13.12.2022		BC0	      3	EA	Connect. & E	5260	Connect. & E	17.10.2022	BRL	D	20221213		EN	113138	AA67035-4KG			120	N			     0	VERDADEIRA		02	0404	       30,00	    10,00	     0,00
	16035688	  10			10294917	ACC HP CHARGE ADAPTOR, NEEDLE VALVE	04.04.2022	27.10.2022	10.01.2023		BC3	      9	EA	Comerciais N	5260	Comerciais N	27.10.2022	BRL	D	20230110		EN					150	N			     0	VERDADEIRA		01	0404	   10.771,20	 1.196,80	     0,00
	16036892	  10	4501733002	  20	BB18-BS0208-09	MACH, DRIFT RING	04.04.2022	04.04.2022	28.02.2023	08.06.2022	BC8	      2	EA	SubCon Machi	5260	SubCon Machi	08.06.2022	BRL	D	20230228	L	EN					105	B			     0		   8785678	E1	0404	      675,86	   337,93	     0,00
	16066408	  10	4501731776	  40	10204716	MACH, LOCK NUT FLC STEM	11.04.2022	11.04.2022	15.02.2023	24.05.2022	BC3	     22	EA	SubCon Machi	5260	SubCon Machi	18.07.2022	BRL	D	20230215		EN					200	B			     0			00	0404	  361.300,06	16.422,73	     0,00
	16066575	  10			10303516	MACH, VISUAL INDICATOR, TYPE 2	11.04.2022	25.09.2022	15.03.2023		BC4	     33	EA	Structures	5260	Structures	03.08.2022	BRL	D	20230315		EN					 90	N			     0			01	0404	        0,33	     0,01	     0,00
	16067194	  10			BB91-BDC-935	PROTETOR DA ROSCA VAM TOP 5 1/2"	11.04.2022	01.09.2022	28.03.2023		BC5	     11	EA	Comerciais N	5260	Comerciais N	14.07.2022	BRL	D	20230328		EN					104	N			     0			01	0404	      906,51	    82,41	     0,00
	16067204	  10			BB91-BDC-935	PROTETOR DA ROSCA VAM TOP 5 1/2"	11.04.2022	09.10.2022	26.03.2023		BC5	      1	EA	Comerciais N	5260	Comerciais N	11.07.2022	BRL	D	20230326		EN					104	N			     0			01	0404	       82,41	    82,41	     0,00
	16067304	  10			10197656	HDLG DVC, JERGENS HOIST RING 23414	11.04.2022	10.09.2022	12.03.2023		BC5	     22	EA	Fasteners	5260	Fasteners	14.07.2022	BRL	D	20230312		EN					134	N			     0				0404	       22,00	     1,00	     0,00
	16067314	  10			10197656	HDLG DVC, JERGENS HOIST RING 23414	11.04.2022	20.09.2022	10.03.2023		BC5	      2	EA	Fasteners	5260	Fasteners	11.07.2022	BRL	D	20230310		EN					134	N			     0				0404	        2,00	     1,00	     0,00
	16067948	  10			10072598	MALE CONNECTOR 1/2" TUBE X 1/2" NPT	11.04.2022	12.08.2022	12.02.2023		BC5	    176	EA	Connect. & E	5260	Connect. & E	28.08.2022	BRL	D	20230212		EN					154	N			     0			03	0404	    6.492,64	    36,89	     0,00
	16067958	  10			10072598	MALE CONNECTOR 1/2" TUBE X 1/2" NPT	11.04.2022	20.08.2022	10.02.2023		BC5	      6	EA	Connect. & E	5260	Connect. & E	10.07.2022	BRL	D	20230210		EN					154	N			     0			03	0404	      221,34	    36,89	     0,00
