28.10.2022                                             Dynamic List Display                                                                                                      1


	Reserv.no.	Itm	WBS element	WBS Descr.	Plnt	Top Level Material	Top Material Desc.	High Level Material	High Material Desc.

	4501744026	 20	100798-06BR	Trell & Trine - WP06BR	5260	10223319	SHCS HEX, M12X40, A4-80	10223319	SHCS HEX, M12X40, A4-80
	   9367950	  1	100798-06BR-PA-PAA-12	T&T - WP06BR - Manuf. Spares	5260	BB26-080097-06	GRAVOPLY 1.6MM THK - RED/WHITE	BB26-080097-06	GRAVOPLY 1.6MM THK - RED/WHITE
	   8685199	  1	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  9	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	526Y	10107535		10107535
	  10457934	 21	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 17	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  1	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  3	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 33	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  4	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 10	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 16	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 32	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 37	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 30	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 49	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 14	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 36	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 20	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 12	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 13	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 15	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 19	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 35	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  8	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  5	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 18	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  2	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 11	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 31	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	 34	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  7	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10457934	  6	100798-06BR-PB-PBA-01	Trell & Trine - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
