28.10.2022                                                         Dynamic List Display                                                                                                                   1


	Reserv.no.	Itm	WBS element	WBS Descr.	Plnt	Top Level Material	Top Material Desc.	High Level Material	High Material Desc.

	4500944657	 30	104231-05BR	ASEP III - WP05BR	5260	10008636	SLEEVE,ORIENTATION, TUBING HANGER, RM	10008636	SLEEVE,ORIENTATION, TUBING HANGER, RM
	4500922516	 20	104231-05BR	ASEP III - WP05BR	5260	10010425	FLOWLOOP, 6" SCH XXS, INDUCTION BENDING	10010425	FLOWLOOP, 6" SCH XXS, INDUCTION BENDING
	4501743475	 20	104231-05BR	ASEP III - WP05BR	5260	10270374	HPEN SAFETY BANNER TAPE	10270374	HPEN SAFETY BANNER TAPE
	4501740834	 10	104231-05BR	ASEP III - WP05BR	5260	BB20-HS0005-31	OPTISEAL CDI DWG S-5592, 10.00BORE	BB20-HS0005-31	OPTISEAL CDI DWG S-5592, 10.00BORE
	4501741562	 10	104231-05BR	ASEP III - WP05BR	5260	BS0000926	FLTR 9/16 MP(F) x 9/16 MP(F) CXF9-5-WO	BS0000926	FLTR 9/16 MP(F) x 9/16 MP(F) CXF9-5-WO
	   9415860	  2	104231-05BR	ASEP III - WP05BR	5260	10018882	TH BODY, 7" BORE, 5" OUTLET, 10kPSI, FM	10018882	TH BODY, 7" BORE, 5" OUTLET, 10kPSI, FM
	   9415860	  1	104231-05BR	ASEP III - WP05BR	5260	10018882	TH BODY, 7" BORE, 5" OUTLET, 10kPSI, FM	10018882	TH BODY, 7" BORE, 5" OUTLET, 10kPSI, FM
	   9415860	  3	104231-05BR	ASEP III - WP05BR	5260	10018882	TH BODY, 7" BORE, 5" OUTLET, 10kPSI, FM	10019193	TH BODY, 7" BORE, 5" OUTLET, 10kPSI, WLD
	   7914984	127	104231-05BR-DE-DEA-01	ASEP III - WP05BR - TUBING HANGER #01	5260	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI
	   7915185	  1	104231-05BR-DE-DEA-02	ASEP III - WP05BR - TUBING HANGER #02	5260	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI
	   9430694	  9	104231-05BR-DE-DEA-02	ASEP III - WP05BR - TUBING HANGER #02	5260	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI
	   9430694	 26	104231-05BR-DE-DEA-02	ASEP III - WP05BR - TUBING HANGER #02	5260	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI
	   9430694	 14	104231-05BR-DE-DEA-02	ASEP III - WP05BR - TUBING HANGER #02	5260	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI
	   9430694	 24	104231-05BR-DE-DEA-02	ASEP III - WP05BR - TUBING HANGER #02	5260	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI
	   9430694	 20	104231-05BR-DE-DEA-02	ASEP III - WP05BR - TUBING HANGER #02	5260	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI	10017598	TH ASSEMBLY, 7" BORE, 5" OUTLET, 10 kPSI
