28.10.2022                                                          Dynamic List Display                                                                                                                    1


	Reserv.no.	Itm	WBS element	WBS Descr.	Plnt	Top Level Material	Top Material Desc.	High Level Material	High Material Desc.

	   8397231	 14	104564-05BR	Goliat West Capital Spares - BR - WP05BR	5260	10008554	SHCS HEX, M16X120, A4-80	10008554	SHCS HEX, M16X120, A4-80
	   8397231	 15	104564-05BR	Goliat West Capital Spares - BR - WP05BR	5260	10037617	GUIDE PIN FEMALE MB SEALPLATE	10037617	GUIDE PIN FEMALE MB SEALPLATE
	   8397231	 16	104564-05BR	Goliat West Capital Spares - BR - WP05BR	5260	10037618	GUIDE PIN MALE MB SEALPLATE	10037618	GUIDE PIN MALE MB SEALPLATE
	   8397231	 13	104564-05BR	Goliat West Capital Spares - BR - WP05BR	5260	10107868	HYDRAUALIC SEAL 28 MM W/ O-RING ASSY	10107868	HYDRAUALIC SEAL 28 MM W/ O-RING ASSY
	   8397231	 12	104564-05BR	Goliat West Capital Spares - BR - WP05BR	5260	BB17-MX0188-04	SHCS HEX, M12X60, A4-80	BB17-MX0188-04	SHCS HEX, M12X60, A4-80
	   8397231	 11	104564-05BR	Goliat West Capital Spares - BR - WP05BR	5260	BB17-NT0001-00	12' SP BACKSEAL TEST GASKET	BB17-NT0001-00	12' SP BACKSEAL TEST GASKET
	   7955056	  9	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	10041074	BOLT, CLAMP STACKING, M6x35 , A4-80	10041074	BOLT, CLAMP STACKING, M6x35 , A4-80
	   7955056	 11	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	10044570	HANDLING SLING, 15ton (30º) X 5m, 4legs	10044570	HANDLING SLING, 15ton (30º) X 5m, 4legs
	   7955056	  5	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	10120439	FLUID, TRANSAQUA HT2 ( 208 LITROS )	10120439	FLUID, TRANSAQUA HT2 ( 208 LITROS )
	   7955056	 14	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	10141986	PIPE SUPPORT 2 1/2'', Ø78MM - FCM GLCV	10141986	PIPE SUPPORT 2 1/2'', Ø78MM - FCM GLCV
	   7955056	  6	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	10238056	API STANDARD NAMEPLATE - 140 x 127	10238056	API STANDARD NAMEPLATE - 140 x 127
	   7955056	 10	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	BB159343	SCREW HEX, M10X30, A4-80	BB159343	SCREW HEX, M10X30, A4-80
	   7955056	 13	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	BB17-MX0014-00	DRIVE SCREW, NO.6 x  9.5mm, A2	BB17-MX0014-00	DRIVE SCREW, NO.6 x  9.5mm, A2
	   7955056	 12	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	BB17-MX0034-46	CIRCLIP-RING DIAM.46	BB17-MX0034-46	CIRCLIP-RING DIAM.46
	   7955056	  7	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	BB20-MX0055-01	O-RING, 39,5x3, NBR70A	BB20-MX0055-01	O-RING, 39,5x3, NBR70A
	   7955056	  8	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	BS0000916	TUBE 3/8 ODx.086 WT MP MS15-093	BS0000916	TUBE 3/8 ODx.086 WT MP MS15-093
	   7955056	  1	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	10170284	CASTROL TRANSAQUA HT2-N - 208 L	10170284	CASTROL TRANSAQUA HT2-N - 208 L
	   7955056	  4	104564-05BR-PA-PAA-07	Goliat West - WP05BR - Safety Stock	5260	BB18-NT0115-06	TX-SEAL 12"-6"  (146)	BB18-NT0115-06	TX-SEAL 12"-6"  (146)
