28.10.2022                                        Dynamic List Display                                                                                                  1


	Reserv.no.	Itm	WBS element	WBS Descr.	Plnt	Top Level Material	Top Material Desc.	High Level Material	High Material Desc.

	   8431304	  1	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	  9	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	526Y	10107535		10107535
	  10298995	 22	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 18	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	  1	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	  3	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 34	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	  4	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 10	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 17	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 33	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 37	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 31	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 11	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 49	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 15	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 13	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 21	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 13	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
	  10298995	 12	105911-06BR-PBC-01	Alvheim Spares - WP06BR - DIU #01	5260	10107535	DOWNHOLE INTERFACE UNIT	10107535	DOWNHOLE INTERFACE UNIT
