28.10.2022                                                        Dynamic List Display                                                                                                                 1


	Reserv.no.	Itm	WBS element	WBS Descr.	Plnt	Top Level Material	Top Material Desc.	High Level Material	High Material Desc.

	4501739740	 30	106006-06BR	G3-1 - Oxy SCM	5260	BB17-000278-09	NUT, GLAND, .562 M/P, 20000 PSI, 316 SS	BB17-000278-09	NUT, GLAND, .562 M/P, 20000 PSI, 316 SS
	   8468822	 35	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	175	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	 20	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	526Y	10103507		10103507
	   8792202	 62	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	526Y	10103507		10103507
	   8792202	 75	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	104	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	 12	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	 76	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	158	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	126	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	172	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	144	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	156	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	157	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	129	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	131	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	132	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	135	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	130	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
	   8792202	161	106006-06BR-BS-BSA-01	OXY - WP06BR - SCM #01	5260	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)
