Purch.Req.	Item	PO	Item.1	Material	Short Text	Req.date	Release Dt	Deliv.dt	PO Date	PGr	Quantity	Un	Created	Plnt	Requisnr.	Chngd On	Crcy	C	Deliv.Date	I	Language	Manufact.	Manufacturer Part No.	Des. Supp.	Name of Supplier	 PDT	S	POrg	Info rec.	Ordered	TrackingNo	Reserv.no.	RevLev	SLoc	   Total Val.	Valn Price	Valn Price.1	FK_EXPD
13023390	80			10301382	"1"" PIPE SUPPORT ASSEMBLY"	20.06.2022	11.10.2022	09.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230309	L	EN					125	N			     0	BB - 2	9294770	01	404	   39.433,48	 9.858,37	     0,00	1302339080
13023390	90			10301382	"1"" PIPE SUPPORT ASSEMBLY"	20.06.2022	06.10.2022	09.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230309	L	EN					195	N			     0	BB - 2	9294771	01	404	   39.433,48	 9.858,37	     0,00	1302339090
13023393	80			10301343	"2-1/2"" PIPE SUPPORT ASSEMBLY"	20.06.2022	11.10.2022	10.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230310	L	EN					120	N			     0	BB - 2	9294772	01	404	   39.433,48	 9.858,37	     0,00	1302339380
13023393	90			10301343	"2-1/2"" PIPE SUPPORT ASSEMBLY"	20.06.2022	11.10.2022	09.03.2023		BC4	      4	EA	276828	5260	268166	06.10.2022	BRL	D	20230309	L	EN					120	N			     0	BB - 2	9294773	01	404	   39.433,48	 9.858,37	     0,00	1302339390
13041256	40			10301374	VALVE BLOCK, SUPPORT ASSEMBLY	28.06.2022	30.09.2022	20.03.2023		BC4	      8	EA	276828	5260	276828	20.09.2022	BRL	D	20230320	L	EN					147	N			     0	BB - 2	9350779	01	404	   78.866,96	 9.858,37	     0,00	1304125640
13041278	40			10319035	"1"" PIPE SUPPORT ASSEMBLY, TOP"	20.06.2022	21.07.2022	10.03.2023		BC4	      8	EA	276828	5260		21.07.2022	BRL	D	20230310	L	EN					195	N			     0	KS	9294095	00	404	   78.866,96	 9.858,37	     0,00	1304127840
13045174	600	4500926256	611	10295708	"SEAL PLATE VMC 12"" - ASSEMBLY"	27.09.2021	30.10.2022	26.11.2023	16.03.2021	BA1	     25	EA	347758	526Y		03.10.2022	BRL	D	20231126		EN					100	B			    17	WP10NO		02	1000	        0,25	     0,01	     0,00	13045174600
13056619	20			10298829	WHC INDICATOR ASSEMBLY	20.06.2022	30.09.2022	10.03.2023		BC4	      8	EA	276828	5260	276828	20.09.2022	BRL	D	20230310	L	EN					137	N			     0	BB - 2	9294097	01	404	    6.400,00	   800,00	     0,00	1305661920
13073253	20	4500934565	70	10106767	ACCUMULATOR ASSY 5L 760BAR MWP SUBSEA	24.09.2021	24.09.2021	04.11.2021	17.06.2021	BPQ	      1	EA	357310	5260		12.09.2022	BRL	D	20211104	L	EN	109896	0538N-GB-761			257	B			     0	200518730R	8273243	00	404	        0,01	     0,01	     0,00	1307325320
13100206	30			10283801	ROUND BAR, Ø240MM, DUPLEX	25.10.2022	26.10.2022	17.04.2023		BC2	    660	MM	276828	5260		26.10.2022	BRL	D	20230417		EN					150	N			     0			02	404	        6,60	     0,01	     0,00	1310020630
