
Project						Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	104996

		10346489				10346489	ASSY, UTA MARLIM	OrdRes	PrdOrd	             509940	                   1	-1	              1	21.10.2022	24.10.2022	31.10.2022	16.09.2022	A25	             8138990	           13		EA

			10346445			10346445	ASSY, MTU	OrdRes	PrdOrd	             509780	                   1	-1	              1	21.10.2022	24.10.2022	25.10.2022	21.09.2022	A25	             9923491	           33		EA

				10118310		10118310	HEX SCR,1/2-13x2,AISI316	OrdRes	ProjSt			-4					24.10.2022	P01	             9867327		BC5	EA	            180

			10339496			10339496	ASSY, UTA SUB-BASE	OrdRes	PrdOrd	             509781	                   1	-1	              1	25.10.2022	26.10.2022	14.11.2022	21.09.2022	A25	             9923491	           33		EA

				BBPFC034230		BBPFC034230	HEXSO SCR, 1/4-20x2.1/2-FT, AISI316	OrdRes	ProjSt			-3					26.08.2022	P01	             9867351		BC5	EA	            160
				BB17-MX0026-03		BB17-MX0026-03	NUT HEX, M10, A4-80	OrdRes	ProjSt			-3					26.08.2022	L02	             9867351		BC5	EA	            176

			10346443			10346443	ASSY, TRANSP SKID, MTU	OrdRes	PrdOrd	             509995	                   1	-1	              1	21.10.2022	24.10.2022	25.10.2022	21.09.2022	A25	             9923491	           18		EA
			10339390			10339390	IP65 CASE, "E1" AND "E2" ELEC SYSTEM	OrdRes	PrdOrd	             510601	                   1	-1	              1	21.10.2022	24.10.2022	26.10.2022	21.09.2022	A25	             9923491	           18		EA
			10339318			10339318	"E2" BRANCH INTERCONN EFL (NON-HYBRID)	OrdRes	PrdOrd	             510600	                   1	-1	              1	21.10.2022	24.10.2022	26.10.2022	01.09.2022	A25	             9923491	            8		EA
			10339319			10339319	"E2" BRANCH INTERCONN EFL (HYBRID)	OrdRes	PrdOrd	             510490	                   1	-1	              1	21.10.2022	24.10.2022	26.10.2022	01.09.2022	A25	             9923491	            8		EA

		10346489				10346489	ASSY, UTA MARLIM	OrdRes	PldOrd	          112503059		-1	              1	21.10.2022	28.10.2022	18.11.2022	04.11.2022	A25	             8138991	           13		EA

			10346445			10346445	ASSY, MTU	DepReq	PldOrd	          112503099		-1	              1	21.10.2022	28.10.2022	16.12.2022	28.10.2022	A25	            10457213	           33		EA

				10346535		10346535	MACH, HINGE PIN, L5	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC3	EA	            114
				10346492		10346492	MACH, ARTICULATED ARM, MTU	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC3	EA	            189
				10347237		10347237	MACH, QR CODE SUPPORT, MTU	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC3	EA	            114
				10346533		10346533	MACH, LAUCHING EYE, L5	DepReq	ProjSt			-1					28.10.2022	U01	            10457922	           10	BC3	EA	            114
				10349036		10349036	WLDMT, SHACKLE STOP	DepReq	ProjSt			-2					28.10.2022	P02	            10457922		BC4	EA	            254
				10346478		10346478	WLDMT, MAIN STRUCTURE WITH ANODES, MTU	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC4	EA	            150
				10347239		10347239	WLDMT/MACH, MTU CONNECTOR	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC3	EA	            114
				10346534		10346534	MACH, LOCKING PISTON PIN, MTU	DepReq	ProjSt			-2					28.10.2022	M01	            10457922		BC3	EA	            114
				10350908		10350908	MACH, STOPPER PIN	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC3	EA	            114
				BBACA001027		BBACA001027	SHACKLE G-4163 GUNNEBO 85 T	DepReq	ProjSt			-1					28.10.2022	L01	            10457922		BC5	EA	            118
				BB91-BDC-890		BB91-BDC-890	MACH, VCM/UTM MANDREL WASHER	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC3	EA	            100
				BBARR007005		BBARR007005	PL WSHR, 1”, B18.22.1-A, AISI 316	DepReq	ProjSt			-1					28.10.2022	C02	            10457922		BC5	EA	            140
				10124339		10124339	NUT,1-8,A194 2HM	DepReq	ProjSt			-1					28.10.2022	P01	            10457922		BC5	EA	            158
				BB91-BDD-554		BB91-BDD-554	CIL HIDRAUL. 2" (EMBOLO) X 1.75" (CURSO)	DepReq	ProjSt			-2					28.10.2022	C02	            10457922		BC0	EA	            160
				10122050		10122050	HEXSO SH SCR,3/4x2,A193 B7M	DepReq	ProjSt			-2					28.10.2022	P01	            10457922		BC5	EA	            180
				BBACA001025		BBACA001025	PAD EYE ROTATE - 3,5 TON	DepReq	ProjSt			-2					28.10.2022	L01	            10457922		BC0	EA	            118
				10121660		10121660	HEX SCR,1.1/2-8x2.1/2,A193 B7M	DepReq	ProjSt			-1					28.10.2022	P01	            10457922		BC5	EA	            180
				10121033		10121033	HEXSO SCR,1/2-13x1.1/4,A193 B7M	DepReq	ProjSt			-4					28.10.2022	P01	            10457922		BC5	EA	            150
				10131107		10131107	HEXSO SCR,3/4-10x2.1/4,A193 B7M	DepReq	ProjSt			-10					28.10.2022	P01	            10457922		BC5	EA	            160
				10121637		10121637	HEX SCR,3/4-10x2,A193 B7M	DepReq	ProjSt			-16					28.10.2022	P01	            10457922		BC5	EA	            180
				10121665		10121665	HVY NUT,3/4-10,A194 2HM	DepReq	ProjSt			-16					28.10.2022	P01	            10457922		BC5	EA	            129
				BBPFC034233		BBPFC034233	PF CIL SEXT INT 5/16" X 1" AISI 316	DepReq	ProjSt			-12					28.10.2022	P01	            10457922		BC5	EA	            160
				BB91-BDB-236		BB91-BDB-236	IDENTIFICATION PLATE  - PRODUTO	DepReq	ProjSt			-1					28.10.2022	C02	            10457922		BC5	EA	            120
				BBREB000001		BBREB000001	RIVET BLIND Ø 3,2 X 8 MM 304	DepReq	ProjSt			-4					28.10.2022	C02	            10457922		BC5	EA	            150
				10349260		10349260	MACH, TAG PLATE, MTU	DepReq	ProjSt			-1					28.10.2022	M01	            10457922		BC3	EA	            114
				BBPFC029252		BBPFC029252	PF CIL SEXT INT 3/8" X 5/8"  AISI 316	DepReq	ProjSt			-2					28.10.2022	P01	            10457922		BC5	EA	            140
				BBARR034020		BBARR034020	ARR DENTADA 3/4" AISI 316	DepReq	ProjSt			-6					28.10.2022	L02	            10457922		BC5	EA	            150
				10226716		10226716	CSTNG, ANODE 160X160X380, WITH HOLES	DepReq	ProjSt			-1					28.10.2022	C01	            10457922		BC5	EA	            190
				BBARR034016		BBARR034016	EXTTH LK WSHR, 3/8, B18.21.1-A, AISI 316	DepReq	ProjSt			-12					28.10.2022	L02	            10457922		BC5	EA	            189
				10137724		10137724	HEXSO SCR,3/8-16x1.3/4,AISI316	DepReq	ProjSt			-4					28.10.2022	P01	            10457922		BC5	EA	            180
				BBPOR091016		BBPOR091016	HVY NUT, 3/8-16, AISI316	DepReq	ProjSt			-8					28.10.2022	P01	            10457922		BC5	EA	            192
				10122278		10122278	HEXSO SCR,1/4-20x3/4,A193 B7M	DepReq	ProjSt			-7					28.10.2022	P01	            10457922		BC5	EA	            180
				BBARR007018		BBARR007018	PL WSHR, 1/4, B18.22.1-A, AISI316	DepReq	ProjSt			-7					28.10.2022	P01	            10457922		BC5	EA	            135
				10356647		10356647	MACH, SUPPORT PLATE, XO MTU	DepReq	ProjSt			-2					28.10.2022	Y01	            10457922	           10	BC3	EA	            114
				10121639		10121639	HEX SCR,1/2-13x2,A193 B7M	DepReq	ProjSt			-4					28.10.2022	P01	            10457922		BC5	EA	            150
				10131167		10131167	HVY NUT,1/2-13, A194 4/7	DepReq	ProjSt			-4					28.10.2022	P01	            10457922		BC5	EA	            180
				BBARR034001		BBARR034001	EXTTH LK WSHR, 1/2, B18.21.1-A, AISI 316	DepReq	ProjSt			-8					28.10.2022	P01	            10457922		BC5	EA	            140
				10350906		10350906	QR CODE LABEL ROBUST 480 x 400 mm	DepReq	QM-lot	        10003194951		-1	              1		14.09.2022	14.09.2022	28.10.2022	Y01	            10457922		BC5	EA	            200
				10346531		10346531	WLDMT, HYDR ROV PANEL, MTU	DepReq	POitem	         4501732545	                  50	-1	              2			08.11.2022	28.10.2022	M01	            10457922		BC3	EA	            114
				BB18-BS0303-25		BB18-BS0303-25	MACH, DUAL RECEPTACLE HOT STAB	DepReq	ProjSt			-1					28.10.2022	U01	            10457922		BC3	EA	             90
