
Project							Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106004

		10334382					10334382	ASSY, PAB RUNNING TOOL, 10 KSI	OrdRes	PldOrd	          112487051		-1	              1	06.07.2023	13.07.2023	15.09.2023	15.09.2023	A41	             8695880	           45	BC8	EA

			10068325				10068325	LOAD KEY, PAB UNLOCK TOOL, MACH	DepReq	PurRqs	           17556969	                  10	-1	              1	31.01.2023		13.07.2023	13.07.2023	U01	            10457244		BC8	EA	            135

				BBFJD003085			BBFJD003085	BAR CHATA FORJ 3 1/2" X 2 1/2" 4130	SubReq	POitem	         4501740497	                  20	-0,090	          0,600			16.02.2023	31.01.2023	F01	            10458656		BC2	M	            115

			10113086				10113086	HEXSO SCR,1/2-13x1.1/2,A320 L7	DepReq	PurRqs	           17050762	                  10	-13	             13	10.10.2022		02.05.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10187862				10187862	MACH, SPLITED RING PAB RT	DepReq	PurRqs	           17050594	                  10	-1	              1	15.10.2022		13.04.2023	13.07.2023	M01	            10457244		BC3	EA	            100
			10121035				10121035	HEXSO SCR,3/4-10x2,A320 L7	DepReq	PurRqs	           17051223	                  10	-6	              6	01.10.2022		13.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
			10084708				10084708	HOLLOW HEX PIPE PLUG 3/8" NPT	DepReq	PurRqs	           17056636	                  10	-1	              1	01.10.2022		15.03.2023	13.07.2023	C02	            10457244		BC0	EA	            159
			10128502				10128502	S-SEAL - JAMES WALKER JW 449-465-1B1	DepReq	PurRqs	           17053445	                  10	-2	              2	01.10.2022		13.04.2023	13.07.2023	C03	            10457244		M25	EA	            174
			10113087				10113087	HEX SCR,1/2-13x1.1/4,ASTM A320 L7	DepReq	PurRqs	           17053332	                  10	-8	             16	01.10.2022		15.03.2023	13.07.2023	P01	            10457244		BC5	EA	            150
			10360171				10360171	ASSY, ROV PANEL, PAB RT, MERO 4	DepReq	PurRqs	           17556068	                  10	-1	              1	22.12.2022		13.07.2023	13.07.2023	Y01	            10457244	           30	BC4	EA	            180
			10121637				10121637	HEX SCR,3/4-10x2,A193 B7M	DepReq	PurRqs	           17054127	                  10	-4	              4	01.10.2022		05.04.2023	13.07.2023	P01	            10457244		BC5	EA	            180
