
Project				Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106006

		BB17-000103-01		BB17-000103-01	WASHER, LOCK, REGULAR SPRING, .250 NOM	OrdRes	ProjSt			-10					01.12.2022	C03	             8436869		BC5	EA	            189
		10197451		10197451	SHCS HEX, 1/4-20UNRCX2625, 718, PTFE	OrdRes	POitem	         4501741016	                  30	-3	              3			08.02.2023	01.12.2022	C03	             8436869		BC5	EA	            189
		BB17-000120-01		BB17-000120-01	NUT HEX, 1/4-20UNC, 316SH	OrdRes	ProjSt			-2					01.12.2022	C03	             8436869		BC5	EA	            140
		BB15-000606-07		BB15-000606-07	2 PIN BOOT	OrdRes	PurRqs	           16599903	                  10	-2	              2	20.07.2022		29.12.2022	01.12.2022	C03	             8436869		BC0	EA	            160
		BB17-000125-01		BB17-000125-01	WASHER, FLAT,TYPE "B" REGULAR, .250 NOM,	OrdRes	ProjSt			-2					01.12.2022	C03	             8436869		BC5	EA	            189
		BB17-000103-03		BB17-000103-03	WASHER, LOCK,REGULAR SPRING, .375 NOM,	OrdRes	ProjSt			-2					01.12.2022	C03	             8436869		BC5	EA	            150
		BB17-000103-17		BB17-000103-17	WASHER, LOCK,REGULAR SPRING, #10 NOM,316	OrdRes	ProjSt			-2					01.12.2022	L02	             8436869		BC5	EA	            189
		BB17-000125-10		BB17-000125-10	WASHER, FLAT, #10, 316SS	OrdRes	ProjSt			-2					01.12.2022	L02	             8436869		BC5	EA	            189
		10079285		10079285	PLUG, HEX HEAD, .250 MSAE, 316SS	OrdRes	ShpgNt	         4501735899	                 170	-2	              2			20.10.2022	17.12.2021	S03	             8436869		M25	EA	            159
		BB20-000102-62		BB20-000102-62	O-RING, 37,47x5,33, NBR70A	OrdRes	POitem	         4501744126	                  20	-10	             10			14.11.2022	14.11.2022	P02	             8436869		B02	EA	            180
		BB20-000111-21		BB20-000111-21	O-RING, 9,25x1,78, NBR70A	OrdRes	POitem	         4501744126	                  30	-10	             10			14.11.2022	14.11.2022	C03	             8436869		B02	EA	            180
		BB20-000111-66		BB20-000111-66	O-RING, 177,17x5,33, NBR70A	OrdRes	POitem	         4501744126	                  40	-10	             10			14.11.2022	14.11.2022	C03	             8436869		B02	EA	            180
		BB20-000111-73		BB20-000111-73	O-RING, 37,46x3, NBR90A	OrdRes	POitem	         4501744126	                  50	-10	             10			14.11.2022	14.11.2022	P02	             8436869		B02	EA	            180
		BB20-000111-75		BB20-000111-75	O-RING, 43,69x3, NBR90A	OrdRes	POitem	         4501744126	                  60	-10	             10			14.11.2022	14.11.2022	C03	             8436869		B02	EA	            180
		BB20-000111-77		BB20-000111-77	O-RING, 75,57x5,33, NBR70A	OrdRes	POitem	         4501744126	                  70	-10	             10			14.11.2022	14.11.2022	C03	             8436869		TS9	EA	            180
		BB20-000119-06		BB20-000119-06	O-RING, 850,9x5,33, NBR70A	OrdRes	PurRqs	           17583482	                  10	-10	             10	28.10.2022		24.05.2023	14.11.2022	C03	             8436869		TS9	EA	            180
		10230504		10230504	O-RING, 50,17x5,33, NBR70A	OrdRes	POitem	         4501744126	                  10	-10	             10			14.11.2022	14.11.2022	C03	             8436869		B02	EA	            180
		10103507		10103507	SCM ASSEMBLY,15K, 26 FUNCTIONS(21LP/5HP)	OrdRes	PldOrd	          111375851		-1	              1	29.11.2022	06.12.2022	10.03.2023	24.03.2023	A72	             8468822	           65		EA

			BB15-000624-48	BB15-000624-48	POD PART, LATCH HOUSING, F/WEDGE PISTON,	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		U30	EA	            232
			BB15-000624-49	BB15-000624-49	AWEDGE PISTONDOG ACTUATING	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		U30	EA	            207
			BB15-000624-06	BB15-000624-06	CLIP RING LATCH DOG	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		U30	EA	            207
			BB15-000624-07	BB15-000624-07	CLIP RETAINER	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC3	EA	            180
			BB15-000624-08	BB15-000624-08	SPLIT RING - POD PART	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC3	EA	            180
			BB15-000624-50	BB15-000624-50	LATCH DOGSF/WEDGE PISTON	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		U30	EA	            207
			BB15-000624-10	BB15-000624-10	BUMPER NOSE - POD PART	DepReq	ProjSt			-1					06.12.2022	C03	             8792202	            2	BC3	EA	            160
			BB15-000624-51	BB15-000624-51	Wedge Piston Key	DepReq	ProjSt			-1					06.12.2022	C03	             8792202		BC3	EA	            160
			BB16-000206-07	BB16-000206-07	ROD LATCH 3.000 OD X 89.937 LG NITRONIC	DepReq	ShpgNt	         4501728403	                  50	-1	              2			22.07.2022	06.12.2022	C03	             8792202		BC7	EA	            280
			BB28-000165-33	BB28-000165-33	WLDMT,MDRL,SCM	DepReq	ShpgNt	         4501728403	                  70	-1	              2			22.07.2022	06.12.2022	C03	             8792202		BC4	EA	            280
