
Project								Material	Description	Requirement Element	Receipt Element	Receipt Element No.	Receipt Element Item	Rec./reqd qty	Target Quantity	Release/Creation	Bas. start date	Receipt Date	Requirements Date	MRP Controller	Reqmt Element Number	InhseProdTime	Purch. Group	Base Unit	Pl. Deliv. Time

	106022

		10023435						10023435	TEST, EFS, HXT, HPEN, WMP RECEPTACLE	OrdRes	POitem	         4501739864	                  60	-2	              2			17.05.2023	01.05.2023	P02	             8451014		J96	EA	            189
		10085287						10085287	M.EQ., EFS, HXT, HPEN, WMP HYD. PRESS	OrdRes	POitem	         4501739864	                  90	-1	              1			17.05.2023	01.05.2023	P02	             8451014		BC5	EA	            189
		BBARA000046						BBARA000046	WELDING WIRE AWS ER NI CR MO DIAMETER 3	OrdRes	QM-lot	        80000114335		-1.257,400	            600		26.10.2022	26.10.2022	01.05.2023	P05	             8451015		BC6	KG	            120
		10107868						10107868	HYDRAUALIC SEAL 28 MM W/ O-RING ASSY	OrdRes	ShpgNt	         4501732077	                  20	-22	             22			29.12.2022	01.05.2023	P02	             8451015		D73	EA	            195
		10112255						10112255	Spares & Seals HP assembly	OrdRes	POitem	         4501739864	                  40	-1	              1			17.05.2023	01.05.2023	P02	             8451015		J96	SET	            189
		10112261						10112261	Spares & seal, TH assembly	OrdRes	POitem	         4501739864	                  50	-1	              1			17.05.2023	01.05.2023	P02	             8451015		J96	SET	            189
		BS0000916						BS0000916	TUBE 3/8 ODx.086 WT MP MS15-093	OrdRes	ProjSt			-47,700					01.05.2023	C02	             8451015		M25	M	            135
		10132420						10132420	SUBSEA CONTROL MODULE (SCM) -Statoil	OrdRes	PldOrd	          112501530		-1	              1	13.12.2022	20.12.2022	31.03.2023	31.03.2023	A71	             8451715	           70		EA

			10142624					10142624	WELDMENT- SCM TOP COVER	DepReq	POitem	         4501731076	                  20	-1	              2			20.12.2022	20.12.2022	P02	            10458593		BC4	EA	            120
			10135083					10135083	iCON CORE SEM A - SKULD SPS PROJECT	DepReq	POitem	         4501735556	                  50	-1	              1			07.12.2022	20.12.2022	P03	            10458593		BA1	EA	            210
			10135085					10135085	iCON AUX SEMS - SKULD SPS PROJECT	DepReq	POitem	         4501735556	                  60	-2	              1			07.12.2022	20.12.2022	P03	            10458593		BA1	EA	            210
